dataset,n_resources_total,n_policies_total,n_users_total,shared_fraction,shared_count,trial_seed,phase1_time_s,phase1_policy_count,phase1_undeliverable_count,naive_policy_count,naive_undeliverable_count,naive_leaked_resource_count,exact_cover_size,exact_cover_skipped_reason,greedy_optimality_gap,phase2_conf_allow,phase2_conf_deny,phase2_integ_grant,phase2_integ_compensatory_read,sod_pairs_tested,sod_violations,bod_pairs_tested,bod_unsatisfied
xustoller-project-management,40,11,-1,0.9,36,0,0.005300300021190196,0,36,3,0,4,0,,0,36,0,36,0,21,0,21,21
xustoller-project-management,40,11,-1,0.9,36,1,0.007009799999650568,1,32,3,0,4,1,,0,32,0,32,0,21,0,21,21
xustoller-project-management,40,11,-1,0.9,36,2,0.005550600006245077,1,28,3,0,4,1,,0,28,0,28,0,21,0,21,21
xustoller-project-management,40,11,-1,0.9,36,3,0.005424500035587698,1,28,3,0,4,1,,0,28,0,28,0,21,0,21,21
xustoller-project-management,40,11,-1,0.9,36,4,0.006244199990760535,2,12,3,0,4,2,,0,12,0,12,0,21,0,21,21
xustoller-project-management,40,11,-1,0.9,36,5,0.008244099968578666,1,28,3,0,4,1,,0,28,0,28,0,21,0,21,21
xustoller-project-management,40,11,-1,0.9,36,6,0.010585499985609204,1,28,3,0,4,1,,0,28,0,28,0,21,0,21,21
xustoller-project-management,40,11,-1,0.9,36,7,0.007650499988812953,1,28,3,0,4,1,,0,28,0,28,0,21,0,21,21
xustoller-project-management,40,11,-1,0.9,36,8,0.011753500031773001,1,20,3,0,4,1,,0,20,0,20,0,21,0,21,21
xustoller-project-management,40,11,-1,0.9,36,9,0.010735299962107092,1,28,3,0,4,1,,0,28,0,28,0,21,0,21,21
