dataset,n_resources_total,n_policies_total,n_users_total,shared_fraction,shared_count,trial_seed,phase1_time_s,phase1_policy_count,phase1_undeliverable_count,naive_policy_count,naive_undeliverable_count,naive_leaked_resource_count,exact_cover_size,exact_cover_skipped_reason,greedy_optimality_gap,phase2_conf_allow,phase2_conf_deny,phase2_integ_grant,phase2_integ_compensatory_read,sod_pairs_tested,sod_violations,bod_pairs_tested,bod_unsatisfied
xustoller-healthcare,16,9,-1,0.7,11,9,0.000735800014808774,0,11,2,0,5,0,,0,11,0,8,3,3,0,3,3
xustoller-healthcare,16,9,-1,0.9,14,0,0.0008190000080503523,2,6,2,0,2,2,,0,6,0,6,0,3,0,3,3
xustoller-healthcare,16,9,-1,0.9,14,1,0.0012138000456616282,2,6,2,0,2,2,,0,6,0,6,0,3,0,3,3
xustoller-healthcare,16,9,-1,0.9,14,2,0.0008817999623715878,2,6,2,0,2,2,,0,6,0,3,3,3,0,3,3
xustoller-healthcare,16,9,-1,0.9,14,3,0.0017949000466614962,2,6,2,0,2,2,,0,6,0,3,3,3,0,3,3
xustoller-healthcare,16,9,-1,0.9,14,4,0.002246100048068911,1,10,2,0,2,1,,0,10,0,10,0,3,0,3,3
xustoller-healthcare,16,9,-1,0.9,14,5,0.0017390000284649432,1,10,2,0,2,1,,0,10,0,7,3,3,0,3,3
xustoller-healthcare,16,9,-1,0.9,14,6,0.0032956000068224967,2,6,2,0,2,2,,0,6,0,6,0,3,0,3,3
xustoller-healthcare,16,9,-1,0.9,14,7,0.0032648000051267445,1,10,2,0,2,1,,0,10,0,7,3,3,0,3,3
xustoller-healthcare,16,9,-1,0.9,14,8,0.004890599986538291,2,6,2,0,2,2,,0,6,0,6,0,3,0,3,3
xustoller-healthcare,16,9,-1,0.9,14,9,0.00129650003509596,1,10,2,0,2,1,,0,10,0,7,3,3,0,3,3
